#TYPE Selected.Microsoft.ActiveDirectory.Management.ADObject
"objectclass","name","distinguishedname"
"domainDNS","javier","DC=javier,DC=cereceda"
"container","Users","CN=Users,DC=javier,DC=cereceda"
"container","Computers","CN=Computers,DC=javier,DC=cereceda"
"organizationalUnit","Domain Controllers","OU=Domain Controllers,DC=javier,DC=cereceda"
"container","System","CN=System,DC=javier,DC=cereceda"
"lostAndFound","LostAndFound","CN=LostAndFound,DC=javier,DC=cereceda"
"infrastructureUpdate","Infrastructure","CN=Infrastructure,DC=javier,DC=cereceda"
"container","ForeignSecurityPrincipals","CN=ForeignSecurityPrincipals,DC=javier,DC=cereceda"
"container","Program Data","CN=Program Data,DC=javier,DC=cereceda"
"container","Microsoft","CN=Microsoft,CN=Program Data,DC=javier,DC=cereceda"
,,"CN=NTDS Quotas,DC=javier,DC=cereceda"
"container","Managed Service Accounts","CN=Managed Service Accounts,DC=javier,DC=cereceda"
,,"CN=Keys,DC=javier,DC=cereceda"
"container","WinsockServices","CN=WinsockServices,CN=System,DC=javier,DC=cereceda"
"rpcContainer","RpcServices","CN=RpcServices,CN=System,DC=javier,DC=cereceda"
"fileLinkTracking","FileLinks","CN=FileLinks,CN=System,DC=javier,DC=cereceda"
,,"CN=VolumeTable,CN=FileLinks,CN=System,DC=javier,DC=cereceda"
"linkTrackObjectMoveTable","ObjectMoveTable","CN=ObjectMoveTable,CN=FileLinks,CN=System,DC=javier,DC=cereceda"
"domainPolicy","Default Domain Policy","CN=Default Domain Policy,CN=System,DC=javier,DC=cereceda"
"classStore","AppCategories","CN=AppCategories,CN=Default Domain Policy,CN=System,DC=javier,DC=cereceda"
"container","Meetings","CN=Meetings,CN=System,DC=javier,DC=cereceda"
"container","Policies","CN=Policies,CN=System,DC=javier,DC=cereceda"
"groupPolicyContainer","{31B2F340-016D-11D2-945F-00C04FB984F9}","CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=javier,DC=cereceda"
"container","User","CN=User,CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=javier,DC=cereceda"
"container","Machine","CN=Machine,CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=javier,DC=cereceda"
"groupPolicyContainer","{6AC1786C-016F-11D2-945F-00C04fB984F9}","CN={6AC1786C-016F-11D2-945F-00C04fB984F9},CN=Policies,CN=System,DC=javier,DC=cereceda"
